doi;coo_authors
10.3115/980304.980323;Barbara J. Grosz
;Barbara J. Grosz, Candace L. Sidner
;Jayashree Mohan, Dhathri Purohith, Matthew Halpern, Vijay Chidambaram, Vijay Janapa Reddi
10.1145/3544016;Behzad Boroujerdian, Ying Jing, Devashree Tripathy, Amit Kumar, Lavanya Subramanian, Luke Yen, Vincent Lee, Vivek Venkatesan, Amit Jindal, Robert Shearer, Vijay Janapa Reddi
10.48550/ARXIV.2301.10904;Maximilian Lam, Jeff Johnson, Wenjie Xiong 0001, Kiwan Maeng, Udit Gupta, Minsoo Rhu, Hsien-Hsin S. Lee, Vijay Janapa Reddi, Gu-Yeon Wei, David Brooks 0001, G. Edward Suh
10.48550/ARXIV.2301.11899;Shvetank Prakash, Matthew Stewart, Colby R. Banbury, Mark Mazumder, Pete Warden, Brian Plancher, Vijay Janapa Reddi
10.1109/MDAT.2022.3161126;Sathwika Bavikadi, Abhijitt Dhavlle, Amlan Ganguly, Anand Haridass, Hagar Hendy, Cory E. Merkel, Vijay Janapa Reddi, Purab Ranjan Sutradhar, Arun Joseph, Sai Manoj Pudukotai Dinakarrao
10.1109/AICAS54282.2022.9870000;Sabrina M. Neuman, Brian Plancher, Bardienus Pieter Duisterhof, Srivatsan Krishnan, Colby R. Banbury, Mark Mazumder, Shvetank Prakash, Jason Jabbour, Aleksandra Faust, Guido C. H. E. de Croon, Vijay Janapa Reddi
10.1109/AICAS54282.2022.9869951;Zishen Wan, Ashwin Sanjay Lele, Bo Yu, Shaoshan Liu, Yu Wang, Vijay Janapa Reddi, Cong Hao, Arijit Raychowdhury
10.1145/3489517.3530445;Yu-Shun Hsiao, Siva Kumar Sastry Hari, Michal Filipiuk, Timothy Tsai 0002, Michael B. Sullivan 0001, Vijay Janapa Reddi, Vasu Singh, Stephen W. Keckler
10.23919/DATE54114.2022.9774508;Tianyu Jia, En-Yu Yang, Yu-Shun Hsiao, Jonathan J. Cruz, David Brooks 0001, Gu-Yeon Wei, Vijay Janapa Reddi
10.23919/DATE54114.2022.9774562;Zishen Wan, Aqeel Anwar, Abdulrahman Mahmoud, Tianyu Jia, Yu-Shun Hsiao, Vijay Janapa Reddi, Arijit Raychowdhury
10.1109/ICRA46639.2022.9812384;Brian Plancher, Sabrina M. Neuman, Radhika Ghosal, Scott Kuindersma, Vijay Janapa Reddi
10.1109/IROS47612.2022.9982082;Víctor Mayoral Vilches, Sabrina M. Neuman, Brian Plancher, Vijay Janapa Reddi
10.1109/ISPASS55109.2022.00023;Srivatsan Krishnan, Zishen Wan, Kshitij Bhardwaj, Ninad Jadhav, Aleksandra Faust, Vijay Janapa Reddi
10.1109/MICRO56248.2022.00033;Srivatsan Krishnan, Zishen Wan, Kshitij Bhardwaj, Paul N. Whatmough, Aleksandra Faust, Sabrina M. Neuman, Gu-Yeon Wei, David Brooks 0001, Vijay Janapa Reddi
;Vijay Janapa Reddi, David Kanter, Peter Mattson, Jared Duke, Thai Nguyen, Ramesh Chukka, Kenneth Shiring, Koan-Sin Tan, Mark Charlebois, William Chou, Mostafa El-Khamy, Jungwook Hong, Tom St. John, Cindy Trinh, Michael Buch, Mark Mazumder, Relja Markovic, Thomas Atta-fosu, Fatih Çakir, Masoud Charkhabi, Xiaodong Chen, Cheng-Ming Chiang, Dave Dexter, Terry Heo, Guenther Schmuelling, Maryam Shabani, Dylan Zika
10.1145/3478432.3499093;Brian Plancher, Vijay Janapa Reddi
;Shvetank Prakash, Tim Callahan, Joseph Bushagour, Colby R. Banbury, Alan V. Green, Pete Warden, Tim Ansell, Vijay Janapa Reddi
;Behzad Boroujerdian, Ying Jing, Amit Kumar, Lavanya Subramanian, Luke Yen, Vincent Lee, Vivek Venkatesan, Amit Jindal, Robert Shearer, Vijay Janapa Reddi
10.48550/ARXIV.2203.02833;Maximilian Lam, Michael Mitzenmacher, Vijay Janapa Reddi, Gu-Yeon Wei, David Brooks 0001
10.48550/ARXIV.2203.07276;Zishen Wan, Aqeel Anwar, Abdulrahman Mahmoud, Tianyu Jia, Yu-Shun Hsiao, Vijay Janapa Reddi, Arijit Raychowdhury
10.48550/ARXIV.2204.10898;Srivatsan Krishnan, Zishen Wan, Kshitij Bhardwaj, Ninad Jadhav, Aleksandra Faust, Vijay Janapa Reddi
10.48550/ARXIV.2205.03325;Tianyu Jia, En-Yu Yang, Yu-Shun Hsiao, Jonathan J. Cruz, David Brooks 0001, Gu-Yeon Wei, Vijay Janapa Reddi
10.48550/ARXIV.2205.03347;Yu-Shun Hsiao, Siva Kumar Sastry Hari, Michal Filipiuk, Timothy Tsai 0002, Michael B. Sullivan 0001, Vijay Janapa Reddi, Vasu Singh, Stephen W. Keckler
10.48550/ARXIV.2205.03929;Víctor Mayoral Vilches, Sabrina M. Neuman, Brian Plancher, Vijay Janapa Reddi
10.48550/ARXIV.2205.05748;Sabrina M. Neuman, Brian Plancher, Bardienus Pieter Duisterhof, Srivatsan Krishnan, Colby R. Banbury, Mark Mazumder, Shvetank Prakash, Jason Jabbour, Aleksandra Faust, Guido C. H. E. de Croon, Vijay Janapa Reddi
10.48550/ARXIV.2205.07149;Zishen Wan, Ashwin Sanjay Lele, Bo Yu, Shaoshan Liu, Yu Wang, Vijay Janapa Reddi, Cong Hao, Arijit Raychowdhury
10.48550/ARXIV.2206.03266;Pete Warden, Matthew Stewart, Brian Plancher, Colby R. Banbury, Shvetank Prakash, Emma Chen, Zain Asgar, Sachin Katti, Vijay Janapa Reddi
10.48550/ARXIV.2207.07958;Javier M. Duarte, Nhan Tran, Benjamin Hawks, Christian Herwig, Jules Muhizi, Shvetank Prakash, Vijay Janapa Reddi
10.48550/ARXIV.2207.10062;Mark Mazumder, Colby R. Banbury, Xiaozhe Yao, Bojan Karlas, William Gaviria Rojas, Sudnya Frederick Diamos, Greg Diamos, Lynn He, Douwe Kiela, David Jurado, David Kanter, Rafael Mosquera, Juan Ciro, Lora Aroyo, Bilge Acun, Sabri Eyuboglu, Amirata Ghorbani, Emmett D. Goodman, Tariq Kane, Christine R. Kirkpatrick, Tzu-Sheng Kuo, Jonas Mueller, Tristan Thrush, Joaquin Vanschoren, Margaret Warren, Adina Williams, Serena Yeung, Newsha Ardalani, Praveen K. Paritosh, Ce Zhang, James Zou 0001, Carole-Jean Wu, Cody Coleman, Andrew Y. Ng, Peter Mattson, Vijay Janapa Reddi
10.48550/ARXIV.2211.08675;Hyoukjun Kwon, Krishnakumar Nair, Jamin Seo, Jason Yik, Debabrata Mohapatra, Dongyuan Zhan, Jinook Song, Peter Capak, Peizhao Zhang, Peter Vajda, Colby R. Banbury, Mark Mazumder, Liangzhen Lai, Ashish Sirasao, Tushar Krishna, Harshit Khaitan, Vikas Chandra, Vijay Janapa Reddi
10.48550/ARXIV.2211.16385;Srivatsan Krishnan, Natasha Jaques, Shayegan Omidshafiei, Dan Zhang, Izzeddin Gur, Vijay Janapa Reddi, Aleksandra Faust
10.48550/ARXIV.2212.03332;Shawn Hymel, Colby R. Banbury, Daniel Situnayake, Alex Elium, Carl Ward, Mat Kelcey, Mathijs Baaijens, Mateusz Majchrzycki, Jenny Plunkett, David Tischler, Alessandro Grande, Louis Moreau, Dmitry Maslov, Artie Beavis, Jan Jongboom, Vijay Janapa Reddi
10.1145/3460970;Mark D. Hill, Vijay Janapa Reddi
10.1109/MM.2021.3066343;Vijay Janapa Reddi, Christine Cheng, David Kanter, Peter Mattson, Guenther Schmuelling, Carole-Jean Wu
10.1007/S10994-021-06006-6;Srivatsan Krishnan, Behzad Boroujerdian, William Fu, Aleksandra Faust, Vijay Janapa Reddi
10.1109/LRA.2021.3057845;Brian Plancher, Sabrina M. Neuman, Thomas Bourgeat, Scott Kuindersma, Srinivas Devadas, Vijay Janapa Reddi
10.1145/3468145;An Zou, Huifeng Zhu, Jingwen Leng, Xin He, Vijay Janapa Reddi, Christopher D. Gill, Xuan Zhang 0001
10.1109/TCAD.2020.2992684;Jingwen Leng, Alper Buyuktosunoglu, Ramon Bertran, Pradip Bose, Yazhou Zu, Vijay Janapa Reddi
10.1109/TCAD.2021.3058491;Jingwen Leng, Alper Buyuktosunoglu, Ramon Bertran, Pradip Bose, Yazhou Zu, Vijay Janapa Reddi
10.1145/3511210;Behzad Boroujerdian, Hasan Genc, Srivatsan Krishnan, Bardienus Pieter Duisterhof, Brian Plancher, Kayvan Mansoorshahi, Marcelino Almeida, Wenzhi Cui, Aleksandra Faust, Vijay Janapa Reddi
10.1109/PACT52795.2021.00017;Maximilian Lam, Zachary Yedidia, Colby R. Banbury, Vijay Janapa Reddi
10.1145/3445814.3446746;Sabrina M. Neuman, Brian Plancher, Thomas Bourgeat, Thierry Tambe, Srinivas Devadas, Vijay Janapa Reddi
10.1109/DAC18074.2021.9586232;Muhammad Shafique 0001, Theocharis Theocharides, Vijay Janapa Reddi, Boris Murmann
10.1109/DAC18074.2021.9586280;Behzad Boroujerdian, Radhika Ghosal, Jonathan J. Cruz, Brian Plancher, Vijay Janapa Reddi
10.1109/DAC18074.2021.9586116;Zishen Wan, Aqeel Anwar, Yu-Shun Hsiao, Tianyu Jia, Vijay Janapa Reddi, Arijit Raychowdhury
;Maximilian Lam, Gu-Yeon Wei, David Brooks 0001, Vijay Janapa Reddi, Michael Mitzenmacher
10.1109/ICRA48506.2021.9561590;Bardienus Pieter Duisterhof, Srivatsan Krishnan, Jonathan J. Cruz, Colby R. Banbury, William Fu, Aleksandra Faust, Guido C. H. E. de Croon, Vijay Janapa Reddi
10.21437/INTERSPEECH.2021-1966;Mark Mazumder, Colby R. Banbury, Josh Meyer, Pete Warden, Vijay Janapa Reddi
10.1109/IROS51168.2021.9636217;Bardienus Pieter Duisterhof, Shushuai Li, Javier Burgués, Vijay Janapa Reddi, Guido C. H. E. de Croon
10.1109/ISPASS51385.2021.00027;Michael Buch, Zahra Azad, Ajay Joshi, Vijay Janapa Reddi
;James Gleeson 0001, Moshe Gabel, Gennady Pekhimenko, Eyal de Lara, Srivatsan Krishnan, Vijay Janapa Reddi
;Colby R. Banbury, Chuteng Zhou, Igor Fedorov, Ramon Matas Navarro, Urmish Thakker, Dibakar Gope, Vijay Janapa Reddi, Matthew Mattina, Paul N. Whatmough
;Robert David, Jared Duke, Advait Jain, Vijay Janapa Reddi, Nat Jeffries, Jian Li, Nick Kreeger, Ian Nappier, Meghna Natraj, Tiezhen Wang, Pete Warden, Rocky Rhodes
;Colby R. Banbury, Vijay Janapa Reddi, Peter Torelli, Nat Jeffries, Csaba Király 0002, Jeremy Holleman, Pietro Montino, David Kanter, Pete Warden, Danilo Pau, Urmish Thakker, Antonio Torrini, Jay Cordaro, Giuseppe Di Guglielmo, Javier M. Duarte, Honson Tran, Nhan Tran, Wenxu Niu, Xuesong Xu
;Daniel Galvez, Greg Diamos, Juan Torres, Keith Achorn, Juan Felipe Cerón, Anjali Gopi, David Kanter, Max Lam, Mark Mazumder, Vijay Janapa Reddi
;Mark Mazumder, Sharad Chitlangia, Colby R. Banbury, Yiping Kang, Juan Ciro, Keith Achorn, Daniel Galvez, Mark Sabini, Peter Mattson, David Kanter, Greg Diamos, Pete Warden, Josh Meyer, Vijay Janapa Reddi
;Srivatsan Krishnan, Zishen Wan, Kshitij Bhardwaj, Paul N. Whatmough, Aleksandra Faust, Sabrina M. Neuman, Gu-Yeon Wei, David Brooks 0001, Vijay Janapa Reddi
;James Gleeson 0001, Srivatsan Krishnan, Moshe Gabel, Vijay Janapa Reddi, Eyal de Lara, Gennady Pekhimenko
;Vijay Janapa Reddi, Greg Diamos, Pete Warden, Peter Mattson, David Kanter
;Mark Mazumder, Colby R. Banbury, Josh Meyer, Pete Warden, Vijay Janapa Reddi
;Yu-Shun Hsiao, Zishen Wan, Tianyu Jia, Radhika Ghosal, Arijit Raychowdhury, David Brooks 0001, Gu-Yeon Wei, Vijay Janapa Reddi
;Maximilian Lam, Gu-Yeon Wei, David Brooks 0001, Vijay Janapa Reddi, Michael Mitzenmacher
;Colby R. Banbury, Vijay Janapa Reddi, Peter Torelli, Jeremy Holleman, Nat Jeffries, Csaba Király 0002, Pietro Montino, David Kanter, Sebastian Ahmed, Danilo Pau, Urmish Thakker, Antonio Torrini, Pete Warden, Jay Cordaro, Giuseppe Di Guglielmo, Javier M. Duarte, Stephen Gibellini, Videet Parekh, Honson Tran, Nhan Tran, Wenxu Niu, Xuesong Xu
;Bardienus Pieter Duisterhof, Shushuai Li, Javier Burgués, Vijay Janapa Reddi, Guido C. H. E. de Croon
;Behzad Boroujerdian, Radhika Ghosal, Jonathan J. Cruz, Brian Plancher, Vijay Janapa Reddi
;Cansu Demirkiran, Furkan Eris, Gongyu Wang, Jonathan Elmhurst, Nick Moore, Nicholas C. Harris, Ayon Basumallik, Vijay Janapa Reddi, Ajay Joshi, Darius Bunandar
;Srivatsan Krishnan, Thierry Tambe, Zishen Wan, Vijay Janapa Reddi
;Brian Plancher, Sabrina M. Neuman, Radhika Ghosal, Scott Kuindersma, Vijay Janapa Reddi
;Alexandros Karargyris, Renato Umeton, Micah J. Sheller, Alejandro Aristizabal, Johnu George, Srini Bala, Daniel J. Beutel, Victor Bittorf, Akshay Chaudhari, Alexander Chowdhury, Cody Coleman, Bala Desinghu, Gregory F. Diamos, Debo Dutta, Diane Feddema, Grigori Fursin, Junyi Guo, Xinyuan Huang, David Kanter, Satyananda Kashyap, Nicholas D. Lane, Indranil Mallick, Pietro Mascagni, Virendra Mehta, Vivek Natarajan, Nikola Nikolov, Nicolas Padoy, Gennady Pekhimenko, Vijay Janapa Reddi, G. Anthony Reina, Pablo Ribalta, Jacob Rosenthal, Abhishek Singh, Jayaraman J. Thiagarajan, Anna Wuest, Maria Xenochristou, Daguang Xu, Poonam Yadav, Michael Rosenthal, Massimo Loda, Jason M. Johnson, Peter Mattson
;Srivatsan Krishnan, Zishen Wan, Kshitij Bhardwaj, Aleksandra Faust, Vijay Janapa Reddi
;Zishen Wan, Aqeel Anwar, Yu-Shun Hsiao, Tianyu Jia, Vijay Janapa Reddi, Arijit Raychowdhury
;Daniel Galvez, Greg Diamos, Juan Ciro, Juan Felipe Cerón, Keith Achorn, Anjali Gopi, David Kanter, Maximilian Lam, Mark Mazumder, Vijay Janapa Reddi
10.1109/LCA.2020.2981022;Srivatsan Krishnan, Zishen Wan, Kshitij Bhardwaj, Paul N. Whatmough, Aleksandra Faust, Gu-Yeon Wei, David Brooks 0001, Vijay Janapa Reddi
10.1109/MM.2020.2974843;Peter Mattson, Hanlin Tang, Gu-Yeon Wei, Carole-Jean Wu, Vijay Janapa Reddi, Christine Cheng, Cody Coleman, Greg Diamos, David Kanter, Paulius Micikevicius, David A. Patterson, Guenther Schmuelling
10.1109/TCAD.2020.2969607;An Zou, Jingwen Leng, Xin He, Yazhou Zu, Christopher D. Gill, Vijay Janapa Reddi, Xuan Zhang 0001
10.1109/DAC18072.2020.9218516;Thierry Tambe, En-Yu Yang, Zishen Wan, Yuntian Deng, Vijay Janapa Reddi, Alexander M. Rush, David Brooks 0001, Gu-Yeon Wei
10.1109/HPCA47549.2020.00014;Jingwen Leng, Alper Buyuktosunoglu, Ramon Bertran, Pradip Bose, Quan Chen 0002, Minyi Guo, Vijay Janapa Reddi
10.1109/HPCA47549.2020.00049;Daniel Richins, Dharmisha Doshi, Matthew Blackmore, Aswathy Thulaseedharan Nair, Neha Pathapati, Ankit Patel, Brainard Daguman, Daniel Dobrijalowski, Ramesh Illikkal, Kevin Long, David Zimmerman, Vijay Janapa Reddi
10.1109/ISCA45697.2020.00045;Vijay Janapa Reddi, Christine Cheng, David Kanter, Peter Mattson, Guenther Schmuelling, Carole-Jean Wu, Brian Anderson, Maximilien Breughe, Mark Charlebois, William Chou, Ramesh Chukka, Cody Coleman, Sam Davis, Pan Deng, Greg Diamos, Jared Duke, Dave Fick, J. Scott Gardner, Itay Hubara, Sachin Idgunji, Thomas B. Jablin, Jeff Jiao, Tom St. John, Pankaj Kanwar, David Lee, Jeffery Liao, Anton Lokhmotov, Francisco Massa, Peng Meng, Paulius Micikevicius, Colin Osborne, Gennady Pekhimenko, Arun Tejusve Raghunath Rajan, Dilip Sequeira, Ashish Sirasao, Fei Sun, Hanlin Tang, Michael Thomson, Frank Wei, Ephrem Wu, Lingjie Xu, Koichi Yamada, Bing Yu, George Yuan, Aaron Zhong, Peizhao Zhang, Yuchen Zhou
;Peter Mattson, Christine Cheng, Gregory F. Diamos, Cody Coleman, Paulius Micikevicius, David A. Patterson, Hanlin Tang, Gu-Yeon Wei, Peter Bailis, Victor Bittorf, David Brooks 0001, Dehao Chen, Debo Dutta, Udit Gupta, Kim M. Hazelwood, Andy Hock, Xinyuan Huang, Daniel Kang, David Kanter, Naveen Kumar, Jeffery Liao, Deepak Narayanan, Tayo Oguntebi, Gennady Pekhimenko, Lillian Pentecost, Vijay Janapa Reddi, Taylor Robie, Tom St. John, Carole-Jean Wu, Lingjie Xu, Cliff Young, Matei Zaharia
;Maximilian Lam, Zachary Yedidia, Colby R. Banbury, Vijay Janapa Reddi
;Colby R. Banbury, Vijay Janapa Reddi, Max Lam, William Fu, Amin Fazel, Jeremy Holleman, Xinyuan Huang, Robert Hurtado, David Kanter, Anton Lokhmotov, David A. Patterson, Danilo Pau, Jae-sun Seo, Jeff Sieracki, Urmish Thakker, Marian Verhelst, Poonam Yadav
;George Papadimitriou 0001, Athanasios Chatzidimitriou, Dimitris Gizopoulos, Vijay Janapa Reddi, Jingwen Leng, Behzad Salami 0001, Osman S. Unsal, Adrián Cristal Kestelman
;Daniel Richins, Dharmisha Doshi, Matthew Blackmore, Aswathy Thulaseedharan Nair, Neha Pathapati, Ankit Patel, Brainard Daguman, Daniel Dobrijalowski, Ramesh Illikkal, Kevin Long, David Zimmerman, Vijay Janapa Reddi
;Robert David, Jared Duke, Advait Jain, Vijay Janapa Reddi, Nat Jeffries, Jian Li, Nick Kreeger, Ian Nappier, Meghna Natraj, Shlomi Regev, Rocky Rhodes, Tiezhen Wang, Pete Warden
;Colby R. Banbury, Chuteng Zhou, Igor Fedorov, Ramon Matas Navarro, Urmish Thakker, Dibakar Gope, Vijay Janapa Reddi, Matthew Mattina, Paul N. Whatmough
;Vijay Janapa Reddi, David Kanter, Peter Mattson, Jared Duke, Thai Nguyen, Ramesh Chukka, Kenneth Shiring, Koan-Sin Tan, Mark Charlebois, William Chou, Mostafa El-Khamy, Jungwook Hong, Michael Buch, Cindy Trinh, Thomas Atta-fosu, Fatih Çakir, Masoud Charkhabi, Xiaodong Chen, Jimmy Chiang, Dave Dexter, Woncheol Heo, Guenther Schmuelling, Maryam Shabani, Dylan Zika
10.1109/LCA.2019.2917898;Jingwen Leng, Alper Buyuktosunoglu, Ramon Bertran, Pradip Bose, Vijay Janapa Reddi
10.1145/3440689;Daniel Richins, Dharmisha Doshi, Matthew Blackmore, Aswathy Thulaseedharan Nair, Neha Pathapati, Ankit Patel, Brainard Daguman, Daniel Dobrijalowski, Ramesh Illikkal, Kevin Long, David Zimmerman, Vijay Janapa Reddi
10.1109/HPCA.2019.00047;Mark D. Hill, Vijay Janapa Reddi
10.1109/HPCA.2019.00031;Yazhou Zu, Daniel Richins, Charles Lefurgy, Vijay Janapa Reddi
10.1109/IOLTS.2019.8854386;Dimitris Gizopoulos, George Papadimitriou 0001, Athanasios Chatzidimitriou, Vijay Janapa Reddi, Behzad Salami 0001, Osman S. Unsal, Adrián Cristal Kestelman, Jingwen Leng
10.1109/ISPASS.2019.00012;Matthew Halpern, Behzad Boroujerdian, Todd W. Mummert, Evelyn Duesterwald, Vijay Janapa Reddi
10.1145/3313808.3313823;Wenzhi Cui, Daniel Richins, Yuhao Zhu 0001, Vijay Janapa Reddi
;Behzad Boroujerdian, Hasan Genc, Srivatsan Krishnan, Wenzhi Cui, Marcelino Almeida, Kayvan Mansoorshahi, Aleksandra Faust, Vijay Janapa Reddi
;Srivatsan Krishnan, Behzad Boroujerdian, William Fu, Aleksandra Faust, Vijay Janapa Reddi
;Thanh Thi Nguyen, Vijay Janapa Reddi
;Behzad Boroujerdian, Hasan Genc, Srivatsan Krishnan, Bardienus Pieter Duisterhof, Brian Plancher, Kayvan Mansoorshahi, Marcelino Almeida, Wenzhi Cui, Aleksandra Faust, Vijay Janapa Reddi
10.48550/ARXIV.2302.13970;Thomas Lew, Riccardo Bonalli, Lucas Janson, Marco Pavone 0001
10.1109/IROS47612.2022.9981915;Alexander Koenig, Zixi Liu, Lucas Janson, Robert Howe
;Thomas Lew, Lucas Janson, Riccardo Bonalli, Marco Pavone 0001
;Feicheng Wang, Lucas Janson
;Kelly W. Zhang, Lucas Janson, Susan A. Murphy
;Feicheng Wang, Lucas Janson
10.1371/JOURNAL.PCBI.1008913;Siyuan Ma, Boyu Ren, Himel Mallick, Yo Sup Moon, Emma H. Schwager, Sagun Maharjan, Timothy L. Tickle, Yiren Lu, Rachel N. Carmody, Eric A. Franzosa, Lucas Janson, Curtis Huttenhower
;Kelly W. Zhang, Lucas Janson, Susan A. Murphy
;Kelly W. Zhang, Lucas Janson, Susan A. Murphy
;Alexander Koenig, Zixi Liu, Lucas Janson, Robert Howe
;Thomas Lew, Lucas Janson, Riccardo Bonalli, Marco Pavone 0001
10.1109/ICRA40945.2020.9197522;Amine Elhafsi, Boris Ivanovic, Lucas Janson, Marco Pavone 0001
10.1109/ICRA40945.2020.9196553;Kiril Solovey, Lucas Janson, Edward Schmerling, Emilio Frazzoli, Marco Pavone 0001
;Pierre Bayle, Alexandre Bayle, Lucas Janson, Lester Mackey
;Kelly W. Zhang, Lucas Janson, Susan A. Murphy
;Kelly W. Zhang, Lucas Janson, Susan A. Murphy
;Pierre Bayle, Alexandre Bayle, Lucas Janson, Lester Mackey
;Feicheng Wang, Lucas Janson
;Kiril Solovey, Lucas Janson, Edward Schmerling, Emilio Frazzoli, Marco Pavone 0001
;Amine Elhafsi, Boris Ivanovic, Lucas Janson, Marco Pavone 0001
10.1177/0278364917714338;Lucas Janson, Brian Ichter, Marco Pavone 0001
10.15607/RSS.2018.XIV.061;Lucas Janson, Tommy Hu, Marco Pavone 0001
;Lucas Janson, Tommy Hu, Marco Pavone 0001
;Yinlam Chow, Mohammad Ghavamzadeh, Lucas Janson, Marco Pavone 0001
10.1177/0278364915577958;Lucas Janson, Edward Schmerling, Ashley A. Clark, Marco Pavone 0001
10.1109/CDC.2015.7402604;Edward Schmerling, Lucas Janson, Marco Pavone 0001
10.1109/ICRA.2015.7139514;Edward Schmerling, Lucas Janson, Marco Pavone 0001
10.1109/IROS.2015.7353652;Joseph A. Starek, Javier V. Gómez, Edward Schmerling, Lucas Janson, Luis Moreno 0001, Marco Pavone 0001
10.1007/978-3-319-60916-4_29;Lucas Janson, Brian Ichter, Marco Pavone 0001
10.1007/978-3-319-60916-4_20;Lucas Janson, Edward Schmerling, Marco Pavone 0001
;Yinlam Chow, Mohammad Ghavamzadeh, Lucas Janson, Marco Pavone 0001
;Lucas Janson, Brian Ichter, Marco Pavone 0001
;Lucas Janson, Edward Schmerling, Marco Pavone 0001
;Joseph A. Starek, Javier V. Gómez, Edward Schmerling, Lucas Janson, Luis Moreno 0001, Marco Pavone 0001
;Edward Schmerling, Lucas Janson, Marco Pavone 0001
;Edward Schmerling, Lucas Janson, Marco Pavone 0001
10.1007/978-3-319-28872-7_38;Lucas Janson, Marco Pavone 0001
;Lucas Janson, Marco Pavone 0001
;Sham M. Kakade, Adam Kalai, Varun Kanade, Ohad Shamir
;Sham M. Kakade, Adam Tauman Kalai, Varun Kanade, Ohad Shamir
;Sham M. Kakade, Ohad Shamir, Karthik Sindharan, Ambuj Tewari
;Sham M. Kakade, Ohad Shamir, Karthik Sridharan, Ambuj Tewari
10.48550/ARXIV.2302.10870;Nikhil Vyas 0004, Sham M. Kakade, Boaz Barak
10.48550/ARXIV.2302.14753;Sham M. Kakade, Akshay Krishnamurthy, Gaurav Mahajan, Cyril Zhang
10.48550/ARXIV.2303.02255;Jingfeng Wu, Difan Zou, Zixiang Chen, Vladimir Braverman, Quanquan Gu, Sham M. Kakade
10.1109/TSP.2022.3153135;Krishna Pillutla, Sham M. Kakade, Zaïd Harchaoui
;Jordan T. Ash, Cyril Zhang, Surbhi Goel, Akshay Krishnamurthy, Sham M. Kakade
;Jens Tuyls, Shunyu Yao, Sham M. Kakade, Karthik Narasimhan
;Benjamin L. Edelman, Surbhi Goel, Sham M. Kakade, Cyril Zhang
;Yonathan Efroni, Sham M. Kakade, Akshay Krishnamurthy, Cyril Zhang
;Nikunj Saunshi, Jordan T. Ash, Surbhi Goel, Dipendra Misra, Cyril Zhang, Sanjeev Arora, Sham M. Kakade, Akshay Krishnamurthy
;Jingfeng Wu, Difan Zou, Vladimir Braverman, Quanquan Gu, Sham M. Kakade
;Jens Tuyls, Shunyu Yao, Sham M. Kakade, Karthik Narasimhan
;Nikunj Saunshi, Jordan T. Ash, Surbhi Goel, Dipendra Misra, Cyril Zhang, Sanjeev Arora, Sham M. Kakade, Akshay Krishnamurthy
10.48550/ARXIV.2203.03159;Difan Zou, Jingfeng Wu, Vladimir Braverman, Quanquan Gu, Sham M. Kakade
10.48550/ARXIV.2203.04236;Juan C. Perdomo, Akshay Krishnamurthy, Peter L. Bartlett, Sham M. Kakade
10.48550/ARXIV.2205.13147;Aditya Kusupati, Gantavya Bhatt, Aniket Rege, Matthew Wallingford, Aditya Sinha, Vivek Ramanujan, William Howard-Snyder, Kaifeng Chen, Sham M. Kakade, Prateek Jain 0002, Ali Farhadi
10.48550/ARXIV.2207.08799;Boaz Barak, Benjamin L. Edelman, Surbhi Goel, Sham M. Kakade, Eran Malach, Cyril Zhang
10.48550/ARXIV.2208.01857;Jingfeng Wu, Difan Zou, Vladimir Braverman, Quanquan Gu, Sham M. Kakade
10.48550/ARXIV.2209.00735;Surbhi Goel, Sham M. Kakade, Adam Tauman Kalai, Cyril Zhang
10.48550/ARXIV.2210.04157;Tengyang Xie, Dylan J. Foster, Yu Bai, Nan Jiang 0008, Sham M. Kakade
10.48550/ARXIV.2210.09579;Abhishek Gupta 0004, Aldo Pacchiano, Yuexiang Zhai, Sham M. Kakade, Sergey Levine
10.1145/3418526;Chi Jin 0001, Praneeth Netrapalli, Rong Ge 0001, Sham M. Kakade, Michael I. Jordan
;Alekh Agarwal, Sham M. Kakade, Jason D. Lee, Gaurav Mahajan
;Difan Zou, Jingfeng Wu, Vladimir Braverman, Quanquan Gu, Sham M. Kakade
;Simon Shaolei Du, Wei Hu, Sham M. Kakade, Jason D. Lee, Qi Lei
;Preetum Nakkiran, Prayaag Venkat, Sham M. Kakade, Tengyu Ma 0001
;Ruosong Wang, Dean P. Foster, Sham M. Kakade
;Yu Bai, Minshuo Chen, Pan Zhou, Tuo Zhao, Jason D. Lee, Sham M. Kakade, Huan Wang, Caiming Xiong
;Simon S. Du, Sham M. Kakade, Jason D. Lee, Shachar Lovett, Gaurav Mahajan, Wen Sun, Ruosong Wang
;Ruosong Wang, Yifan Wu, Ruslan Salakhutdinov, Sham M. Kakade
;Jordan T. Ash, Surbhi Goel, Akshay Krishnamurthy, Sham M. Kakade
;Baihe Huang, Kaixuan Huang, Sham M. Kakade, Jason D. Lee, Qi Lei, Runzhe Wang, Jiaqi Yang 0001
;Baihe Huang, Kaixuan Huang, Sham M. Kakade, Jason D. Lee, Qi Lei, Runzhe Wang, Jiaqi Yang 0001
;Aditya Kusupati, Matthew Wallingford, Vivek Ramanujan, Raghav Somani, Jae Sung Park, Krishna Pillutla, Prateek Jain 0002, Sham M. Kakade, Ali Farhadi
;Xiyang Liu, Weihao Kong, Sham M. Kakade, Sewoong Oh
;Yuanhao Wang 0004, Ruosong Wang, Sham M. Kakade
